frequency(MHz),inputPower(dBm)
265,-10.1
270,-10.7
275,-10.9
280,-11.0
285,-11.1
290,-11.3
295,-11.7
300,-12.0
305,-12.0
310,-11.9
315,-11.8
320,-11.8
325,-11.7
330,-11.7
335,-11.6
340,-11.5
345,-11.3
350,-11.1
355,-11.1
360,-11.0
365,-10.7
370,-10.4
375,-10.1
380,-9.4
385,-9.0
