frequency(MHz),inputPower(dBm)
240,-10.9
245,-11.0
250,-11.0
255,-10.9
260,-11.7
265,-12.4
270,-12.7
275,-12.9
280,-12.9
285,-13.0
290,-13.2
295,-13.5
300,-13.7
305,-13.6
310,-13.6
315,-13.4
320,-13.5
325,-13.4
330,-13.3
335,-13.2
340,-13.1
345,-12.9
350,-12.8
355,-12.7
360,-12.5
365,-12.3
370,-12.0
375,-11.8
380,-11.6
385,-11.3
390,-11.0
395,-10.5
400,-9.5
