frequency(MHz),inputPower(dBm)
280,-9.4
285,-9.5
290,-9.8
295,-10.6
300,-11.1
305,-11.1
310,-11.0
315,-10.9
320,-10.9
325,-10.8
330,-10.8
335,-10.8
340,-10.7
345,-10.4
350,-10.2
355,-10.2
360,-10.1
365,-9.7
370,-9.4
