frequency(MHz),inputPower(dBm)
260,-9.2
265,-10.8
270,-11.4
275,-11.5
280,-11.6
285,-11.7
290,-11.9
295,-12.2
300,-12.5
305,-12.5
310,-12.4
315,-12.3
320,-12.3
325,-12.2
330,-12.1
335,-12.1
340,-12.0
345,-11.8
350,-11.6
355,-11.6
360,-11.4
365,-11.2
370,-10.9
375,-10.6
380,-10.3
385,-9.5
390,-9.1
