frequency(MHz),inputPower(dBm)
270,-10.2
275,-10.4
280,-10.4
285,-10.5
290,-10.8
295,-11.2
300,-11.6
305,-11.6
310,-11.5
315,-11.4
320,-11.4
325,-11.3
330,-11.3
335,-11.2
340,-11.1
345,-10.9
350,-10.7
355,-10.7
360,-10.6
365,-10.4
370,-10.0
375,-9.2
